datetime,price,pred,prob,actual,pnl,symbol
2025-09-15 00:00:00+00:00,115227.0703125,down,0.8868875644540084,down,0.0001263808926192933,BTC
2025-09-15 00:15:00+00:00,115212.5078125,down,0.7130029321288387,down,0.0011221790494345685,BTC
2025-09-15 00:30:00+00:00,115083.21875,down,0.7017721983521509,down,3.597939860366939e-05,BTC
2025-09-15 00:45:00+00:00,115079.078125,down,0.6187293981833341,down,0.0012145181146496764,BTC
2025-09-15 01:00:00+00:00,114939.3125,down,0.7458520962314649,up,-0.0017444667811110648,BTC
2025-09-15 01:15:00+00:00,115139.8203125,down,0.6327040846922786,up,-0.0009230624966369838,BTC
2025-09-15 01:30:00+00:00,115246.1015625,up,0.6745619462782277,down,-0.00031149372528260777,BTC
2025-09-15 01:45:00+00:00,115210.203125,up,0.6950827865301844,up,0.0019857724732226245,BTC
2025-09-15 02:00:00+00:00,115438.984375,down,0.8426478970475052,down,0.00020208186278058982,BTC
2025-09-15 02:15:00+00:00,115415.65625,up,0.862646595118769,up,0.0004653695975498362,BTC
2025-09-15 02:30:00+00:00,115469.3671875,up,0.6907398952384409,down,-0.0007066268049040758,BTC
2025-09-15 02:45:00+00:00,115387.7734375,up,0.8576094363733722,up,0.0013172972791812843,BTC
2025-09-15 03:00:00+00:00,115539.7734375,down,0.8571692812109373,down,0.00037899557180354204,BTC
2025-09-15 03:15:00+00:00,115495.984375,up,0.829395285115462,down,-8.523023595385926e-05,BTC
2025-09-15 03:30:00+00:00,115486.140625,down,0.6440085342045544,up,-0.0006211513746305908,BTC
2025-09-15 03:45:00+00:00,115557.875,up,0.8070968540702187,down,-0.00038204611758396734,BTC
2025-09-15 04:00:00+00:00,115513.7265625,down,0.8835072193741706,up,-0.0046705082465510195,BTC
2025-09-15 04:15:00+00:00,116053.234375,up,0.8047621436301471,up,8.004139264206067e-05,BTC
2025-09-15 04:30:00+00:00,116062.5234375,up,0.6994850547323501,up,8.42756964978264e-05,BTC
2025-09-15 04:45:00+00:00,116072.3046875,down,0.7501737952292493,up,-0.0011572124191177036,BTC
2025-09-15 05:00:00+00:00,116206.625,up,0.7937175130053161,up,0.001323007078985361,BTC
2025-09-15 05:15:00+00:00,116360.3671875,down,0.7531711226185511,up,-0.00046890965814916363,BTC
2025-09-15 05:30:00+00:00,116414.9296875,down,0.6359858825192909,up,-0.0010620013501005943,BTC
2025-09-15 05:45:00+00:00,116538.5625,up,0.6936192133956062,up,0.0010679136787876686,BTC
2025-09-15 06:00:00+00:00,116663.015625,down,0.8407188091660898,down,0.0016153630522097728,BTC
2025-09-15 06:15:00+00:00,116474.5625,down,0.8584254138286552,down,0.0015654571572226716,BTC
2025-09-15 06:30:00+00:00,116292.2265625,up,0.641190009814671,down,-0.0011674522795986908,BTC
2025-09-15 06:45:00+00:00,116156.4609375,up,0.8857160257196174,up,0.0009642167047450023,BTC
2025-09-15 07:00:00+00:00,116268.4609375,down,0.6986467853545828,down,0.001277418108938777,BTC
2025-09-15 07:15:00+00:00,116119.9375,up,0.798694121619216,down,-0.003405692067307564,BTC
2025-09-15 07:30:00+00:00,115724.46875,up,0.8255475437870043,up,0.001103780180455649,BTC
2025-09-15 07:45:00+00:00,115852.203125,up,0.8435838703913651,down,-0.002372904809616716,BTC
2025-09-15 08:00:00+00:00,115577.296875,down,0.8837249106677791,up,-0.001496157806727627,BTC
2025-09-15 08:15:00+00:00,115750.21875,down,0.6938758644086468,down,0.00341488285524294,BTC
2025-09-15 08:30:00+00:00,115354.9453125,down,0.8575519363654663,down,0.004532410258473285,BTC
2025-09-15 08:45:00+00:00,114832.109375,up,0.6395060710308621,up,0.00014845042116506946,BTC
2025-09-15 09:00:00+00:00,114849.15625,down,0.8115122719060779,up,-0.0027158585459785556,BTC
2025-09-15 09:15:00+00:00,115161.0703125,up,0.8225933188541958,down,-0.0015883324286900535,BTC
2025-09-15 09:30:00+00:00,114978.15625,down,0.8033169723603961,down,0.00047733251506199004,BTC
2025-09-15 09:45:00+00:00,114923.2734375,down,0.6756944208405459,down,0.0004246039426168968,BTC
2025-09-15 10:00:00+00:00,114874.4765625,up,0.861912944104561,down,-0.0006354082271730066,BTC
2025-09-15 10:15:00+00:00,114801.484375,up,0.6506575390111184,up,3.62718524300476e-05,BTC
2025-09-15 10:30:00+00:00,114805.6484375,down,0.6160904374562493,up,-0.0003047949989938292,BTC
2025-09-15 10:45:00+00:00,114840.640625,up,0.8152394971835737,up,0.0008095457278367579,BTC
2025-09-15 11:00:00+00:00,114933.609375,down,0.7426427145698201,up,-0.00010291267336270948,BTC
2025-09-15 11:15:00+00:00,114945.4375,up,0.8547294059876028,up,0.001986880188263207,BTC
2025-09-15 11:30:00+00:00,115173.8203125,up,0.7150191423174777,down,-0.00027811224732399165,BTC
2025-09-15 11:45:00+00:00,115141.7890625,down,0.6504835765523138,down,0.0019632044702493356,BTC
2025-09-15 12:00:00+00:00,114915.7421875,up,0.8509326577409609,up,0.00021360759224742232,BTC
2025-09-15 12:15:00+00:00,114940.2890625,up,0.7646728894920215,down,-0.0005973210138933149,BTC
